gene,raw_identifier,n_masked,neural_r,knn_r,delta_r,neural_mse,knn_mse,delta_mse
SCAMP3,SCAMP3,95,0.7754774,0.8683105,-0.0928331,0.3968718647956848,0.2721022367477417,-0.12476962804794312
RTP2,RTP2,104,0.84706575,0.9399071,-0.09284133,0.2290637344121933,0.09425432980060577,-0.13480940461158752
SNORA31,SNORA31|ENSG00000252852.1,112,0.80985296,0.9028139,-0.09296095,0.47467491030693054,0.2671225070953369,-0.20755240321159363
MIR1205,MIR1205,129,0.8339286,0.92690706,-0.09297848,0.23970220983028412,0.12317031621932983,-0.11653189361095428
EPB41L1,EPB41L1,108,0.8443172,0.9373698,-0.093052626,0.6457858085632324,0.2631588876247406,-0.3826269209384918
COL9A3,COL9A3,111,0.7870623,0.8801734,-0.0931111,0.6590480804443359,0.40115490555763245,-0.2578931748867035
RN7SL798P,RN7SL798P,118,0.80676645,0.89994144,-0.093174994,0.2727515995502472,0.14869306981563568,-0.12405852973461151
RGS22,RGS22,101,0.82495105,0.9183194,-0.09336835,0.3964262008666992,0.20094697177410126,-0.19547922909259796
DIDO1,DIDO1,111,0.7465666,0.8399722,-0.093405604,0.6689624190330505,0.45052042603492737,-0.21844199299812317
S100A6,S100A6,102,0.781469,0.87492293,-0.093453944,0.28630906343460083,0.14596088230609894,-0.1403481811285019
PFN2,PFN2,90,0.8410047,0.934513,-0.09350824,0.6075451374053955,0.3063802719116211,-0.3011648654937744
SNORA44,SNORA44,94,0.8484333,0.9420655,-0.09363216,0.24326319992542267,0.10235200822353363,-0.14091119170188904
C8orf4,C8orf4,106,0.31044245,0.40432435,-0.093881905,0.8043025732040405,0.72868412733078,-0.0756184458732605
ZHX1,ZHX1,111,0.7968506,0.8907778,-0.093927205,0.352098286151886,0.21512028574943542,-0.13697800040245056
TWIST1,TWIST1,117,0.5994051,0.69339615,-0.09399104,0.9314882755279541,0.7478569149971008,-0.18363136053085327
APOLD1,APOLD1,98,0.8703656,0.96441215,-0.09404653,0.25272148847579956,0.07674403488636017,-0.1759774535894394
RNA5SP149,RNA5SP149,113,0.8232266,0.9173207,-0.09409416,0.21423210203647614,0.11554676294326782,-0.09868533909320831
RFC4,RFC4,95,0.84239244,0.93662554,-0.094233096,0.287872314453125,0.15480884909629822,-0.13306346535682678
RAP2B,RAP2B,105,0.748819,0.84311396,-0.094294965,0.45809417963027954,0.30138030648231506,-0.15671387314796448
SLC10A5,SLC10A5,111,0.8699836,0.96429235,-0.094308734,0.483089417219162,0.15160316228866577,-0.3314862549304962
MGC4294,MGC4294,99,0.8223631,0.916689,-0.0943259,0.48527970910072327,0.2651037871837616,-0.22017592191696167
