gene,raw_identifier,n_masked,neural_r,neural_mse,rank_r,rank_mse,quality_score
DYRK1B,DYRK1B,90,0.5510331,0.3467564880847931,0.17455716586151368,0.7397745571658615,0.4571658615136876
ST3GAL1,ST3GAL1,99,0.73199177,0.518498420715332,0.5265700483091788,0.38743961352657,0.45700483091787436
C12orf4,C12orf4,93,0.75813526,0.583718478679657,0.6112721417069243,0.30241545893719807,0.4568438003220612
CCDC127,CCDC127,85,0.73476034,0.5229249000549316,0.533011272141707,0.38035426731078903,0.456682769726248
DEFB4B,DEFB4B,98,0.6150174,0.3829265236854553,0.2611916264090177,0.6508856682769726,0.45603864734299515
ACTL10,ACTL10,87,0.74218464,0.5426141023635864,0.5610305958132045,0.350402576489533,0.45571658615136873
MIR4258,MIR4258,111,0.7432664,0.545313835144043,0.564573268921095,0.3462157809983897,0.45539452495974236
TPX2,TPX2,93,0.6853115,0.450031578540802,0.3974235104669887,0.5127214170692431,0.45507246376811594
CLEC12A,CLEC12A,98,0.78168017,0.6860690712928772,0.6933977455716586,0.21610305958132045,0.4547504025764895
ZNF696,ZNF696,85,0.71068764,0.4843585193157196,0.46570048309178746,0.4434782608695652,0.45458937198067634
SNORD123,SNORD123,97,0.7178676,0.4954804480075836,0.4856682769726248,0.42351046698872785,0.45458937198067634
KLRF1,KLRF1,98,0.7415831,0.5424612760543823,0.5584541062801932,0.3507246376811594,0.4545893719806763
C20orf112,C20orf112,100,0.7566208,0.5844185948371887,0.6067632850241546,0.30209339774557165,0.4544283413848631
LINC00886,LINC00886,105,0.7243951,0.5075579881668091,0.5040257648953301,0.4045088566827697,0.4542673107890499
NBPF11,NBPF11,102,0.6706887,0.4312721788883209,0.35909822866344604,0.5475040257648953,0.4533011272141707
TRIO,TRIO,115,0.6791767,0.44420114159584045,0.3826086956521739,0.5239935587761675,0.4533011272141707
MIR4728,MIR4728,100,0.61559296,0.38601768016815186,0.26247987117552335,0.6428341384863124,0.45265700483091786
C8orf87,C8orf87,107,0.7644321,0.6213545203208923,0.6347826086956522,0.2702093397745572,0.4524959742351047
BCL9,BCL9,95,0.7466111,0.5568459033966064,0.5726247987117552,0.3323671497584541,0.4524959742351047
MTMR9,MTMR9,108,0.7144,0.49257692694664,0.4750402576489533,0.42962962962962964,0.4523349436392915
SUCNR1,SUCNR1,93,0.7737655,0.6580354571342468,0.6634460547504025,0.24057971014492754,0.452012882447665
CNTNAP2,CNTNAP2,109,0.6275227,0.3957752287387848,0.28502415458937197,0.6186795491143318,0.45185185185185184
GPIHBP1,GPIHBP1,107,0.6803764,0.44728508591651917,0.3861513687600644,0.5175523349436393,0.45185185185185184
TM4SF18,TM4SF18,90,0.6561881,0.4211767911911011,0.33494363929146537,0.5687600644122384,0.45185185185185184
SDR16C5,SDR16C5,103,0.707927,0.4800872802734375,0.4537842190016103,0.449597423510467,0.45169082125603865
SLCO4A1,SLCO4A1,125,0.7415019,0.54625004529953,0.557487922705314,0.34492753623188405,0.451207729468599
MRPL15,MRPL15,103,0.6905196,0.4578341841697693,0.40933977455716586,0.4927536231884058,0.4510466988727858
PRRX1,PRRX1,105,0.76525694,0.6260459423065186,0.6367149758454106,0.2650563607085346,0.45088566827697263
IGF2BP3,IGF2BP3,130,0.67243016,0.43654096126556396,0.3652173913043478,0.5362318840579711,0.45072463768115945
WHSC1L1,WHSC1L1,98,0.3818698,0.2962072491645813,0.053462157809983896,0.8460547504025765,0.4497584541062802
PPP1R3B,PPP1R3B,103,0.7337901,0.5305414199829102,0.5307568438003221,0.36843800322061193,0.449597423510467
DNAJC21,DNAJC21,93,0.7157465,0.4964526295661926,0.4785829307568438,0.42061191626409017,0.449597423510467
SCXB,SCXB,98,0.7409806,0.5467768311500549,0.5552334943639291,0.3436392914653784,0.44943639291465376
MYO10,MYO10,109,0.6444862,0.4137938916683197,0.31239935587761675,0.5855072463768116,0.4489533011272142
NAALADL2,NAALADL2,102,0.724637,0.515548825263977,0.504669887278583,0.3925925925925926,0.4486312399355878
MDM1,MDM1,96,0.35175222,0.29105904698371887,0.041223832528180356,0.8557165861513688,0.4484702093397746
KDM5A,KDM5A,115,0.7515858,0.5784270167350769,0.58743961352657,0.307890499194847,0.4476650563607085
B4GALNT1,B4GALNT1,93,0.5076739,0.3356194794178009,0.1320450885668277,0.7626409017713366,0.44734299516908216
RTFDC1,RTFDC1,92,0.78081334,0.69981849193573,0.6898550724637681,0.2035426731078905,0.4466988727858293
SLA2,SLA2,122,0.6718018,0.4408682882785797,0.36264090177133657,0.52914653784219,0.4458937198067633
